Id,age,Industry,job,salary,currency,country,years_field_experience,education,gender,salary_usd,new_currency
26561,25-34,Government and Public Administration,Marine science technician ,56000,USD,Usa,2 - 4 years,College degree,Man,56000.0,USD
26562,under 18,"Accounting, Banking & Finance",na,0,USD,na,1 year or less,High School,Man,0.0,USD
26563,35-44,Hospitality & Events,General Manager ,53000,USD,United States,21 - 30 years,Master's degree,Woman,53000.0,USD
26564,35-44,Business or Consulting,Salesforce Consultant,94000,USD,United States,8 - 10 years,College degree,Other or prefer not to answer,94000.0,USD
26565,25-34,Education (Higher Education),Postdoctoral Fellow,56000,USD,United States,8 - 10 years,PhD,Man,56000.0,USD
26566,55-64,Education (Primary/Secondary),Administrative Office Associate,58600,USD,USA,11 - 20 years,College degree,Woman,58600.0,USD
26567,35-44,Health care,Account Manager,135000,USD,Usa,11 - 20 years,Master's degree,Woman,135000.0,USD
26568,25-34,Biotechnology,Process engineer,107000,USD,USA,2 - 4 years,College degree,Woman,107000.0,USD
26569,25-34,Education (Higher Education),Assistant Advisor,37000,USD,United State of America,2 - 4 years,Master's degree,Woman,37000.0,USD
26570,25-34,Recruitment or HR,Human Resources Administrator,58000,USD,USA,1 year or less,College degree,Woman,58000.0,USD
26571,25-34,Education (Higher Education),PhD student,31000,USD,US,8 - 10 years,Master's degree,Woman,31000.0,USD
26572,18-24,Computing or Tech,Software Engineer,195000,USD,USA,2 - 4 years,College degree,Woman,195000.0,USD
26573,25-34,Transport or Logistics,Human Resources Coordinator,39520,USD,United States,2 - 4 years,Some college,Man,39520.0,USD
26574,25-34,EdTech,Junior Software Engineer,90000,USD,US,1 year or less,College degree,Woman,90000.0,USD
26575,25-34,Computing or Tech,Software Engineer,140000,USD,US,2 - 4 years,College degree,nan,140000.0,USD
26576,18-24,"Accounting, Banking & Finance",Business manager,130000,USD,United states,2 - 4 years,College degree,Woman,130000.0,USD
26577,18-24,Retail,Full time assistant manager,26000,USD,United states,2 - 4 years,High School,Non-binary,26000.0,USD
26578,25-34,Computing or Tech,Director of Cybersecurity,120000,USD,United States,2 - 4 years,Master's degree,Woman,120000.0,USD
26579,18-24,Business or Consulting,Management consultant ,65000,USD,USA ,1 year or less,College degree,Woman,65000.0,USD
26580,25-34,Media & Digital,Product Designer,120000,USD,USA,2 - 4 years,Master's degree,Woman,120000.0,USD
26581,45-54,Computing or Tech,Operations Manager,100000,USD,USA,11 - 20 years,College degree,Woman,100000.0,USD
26582,35-44,Government and Public Administration,Programme Manager,47000,EUR,Austria,11 - 20 years,Master's degree,Woman,51168.9,USD
26583,25-34,Public Policy,Special Events Associate,56000,USD,USA,2 - 4 years,College degree,Woman,56000.0,USD
26584,25-34,Nonprofits,College Success Manager,45000,USD,USA,2 - 4 years,Master's degree,Woman,45000.0,USD
26585,18-24,Media & Digital,Content Strategy Associate,54000,USD,United States of America,2 - 4 years,College degree,Woman,54000.0,USD
26586,25-34,Nonprofits,Editor,57000,USD,United States,5-7 years,College degree,Man,57000.0,USD
26587,25-34,Nonprofits,Research Assistant,48500,USD,United States,2 - 4 years,College degree,Woman,48500.0,USD
26588,25-34,Nonprofits,Digital analytics specialist,56000,USD,USA,2 - 4 years,College degree,Woman,56000.0,USD
26589,35-44,Business or Consulting,Executive assistant,62000,USD,United States,5-7 years,College degree,Woman,62000.0,USD
26591,55-64,"Accounting, Banking & Finance",Customer Service,28080,USD,US,5-7 years,College degree,Woman,28080.0,USD
26592,35-44,Computing or Tech,Senior Software Engineer,287000,USD,USA,11 - 20 years,College degree,Man,287000.0,USD
26593,35-44,Transport or Logistics,Logistics coordinator,52000,USD,United States,2 - 4 years,Master's degree,Woman,52000.0,USD
26594,35-44,nan,IT Manager,85000,USD,United States,11 - 20 years,Master's degree,Man,85000.0,USD
26595,25-34,Business or Consulting,Consultant,130000,USD,USA,8 - 10 years,College degree,Man,130000.0,USD
26596,35-44,Computing or Tech,Senior Project Manager,52000,USD,Thailand,5-7 years,Master's degree,Woman,52000.0,USD
26597,25-34,Law,Legal Secretary/Paralegal,40664,USD,USA,11 - 20 years,College degree,Woman,40664.0,USD
26598,35-44,"Accounting, Banking & Finance",Vice President,195000,USD,United States,11 - 20 years,College degree,Man,195000.0,USD
26599,45-54,Engineering or Manufacturing,Associate Staff Scientist,80000,USD,USA,21 - 30 years,Master's degree,Woman,80000.0,USD
26600,25-34,Law,Legal Secretary/Paralegal,36000,USD,USA,5-7 years,College degree,Woman,36000.0,USD
26601,35-44,"Accounting, Banking & Finance",Manager,95000,CAD,Canada ,5-7 years,"Professional degree (MD, JD, etc.)",Woman,76048.45000000001,USD
26602,25-34,"Accounting, Banking & Finance",Corporate tax adviser ,27825,GBP,United Kingdom,2 - 4 years,College degree,Woman,36269.052749999995,USD
26603,25-34,Computing or Tech,Systems Engineer,75000,EUR,France,5-7 years,Master's degree,Man,81652.5,USD
26604,35-44,"Accounting, Banking & Finance",Banker,40000,USD,United States,2 - 4 years,College degree,Woman,40000.0,USD
26605,35-44,Computing or Tech,Sr. Sales Compensation Analyst,115000,USD,USA,8 - 10 years,High School,Woman,115000.0,USD
26606,25-34,Retail,Senior Logistics Analyst,70000,USD,United States,5-7 years,Some college,Woman,70000.0,USD
26607,45-54,Education (Primary/Secondary),Science teacher,70000,USD,USA,21 - 30 years,Master's degree,Man,70000.0,USD
26608,25-34,Health care,Project Manager,101000,USD,USA,8 - 10 years,Master's degree,Man,101000.0,USD
26609,25-34,Social Work,School social worker,54000,USD,United states,1 year or less,Master's degree,Woman,54000.0,USD
26610,35-44,Computing or Tech,Staff Site Reliability Engineer,187500,USD,US,5-7 years,High School,Man,187500.0,USD
26611,35-44,Social Work,Program director ,74000,USD,USA,11 - 20 years,Master's degree,Woman,74000.0,USD
26612,45-54,Computing or Tech,Principal member of Technical Staff,196000,USD,U.S.A.,21 - 30 years,Master's degree,Man,196000.0,USD
26613,25-34,Sales,New sales ,92000,USD,🇺🇸 ,5-7 years,College degree,Woman,92000.0,USD
26614,25-34,Computing or Tech,Solutions Engineer,140000,USD,United States,2 - 4 years,College degree,Woman,140000.0,USD
26615,25-34,Law,In-House Counsel,100000,CAD,Canada,1 year or less,"Professional degree (MD, JD, etc.)",Woman,80051.0,USD
26616,35-44,Property or Construction,Location Analyst,78000,USD,US,5-7 years,Master's degree,Woman,78000.0,USD
26617,18-24,Computing or Tech,Project Based Escalated CSR Rep and Specialized QA Auditor,36958,USD,United States,2 - 4 years,High School,Man,36958.0,USD
26618,25-34,Computing or Tech,Privacy Program Manager,163000,USD,USA,8 - 10 years,Master's degree,Woman,163000.0,USD
26619,25-34,Utilities & Telecommunications,Leasing Administrator ,41000,USD,United States,1 year or less,Master's degree,Woman,41000.0,USD
26620,35-44,Computing or Tech,Consulting Manager,150000,USD,United States of America,5-7 years,Master's degree,Woman,150000.0,USD
26621,55-64,Property or Construction,Human Resources Manager,45000,USD,US,8 - 10 years,College degree,Woman,45000.0,USD
26622,45-54,Nonprofits,Office Manager,57000,USD,united states,11 - 20 years,College degree,Woman,57000.0,USD
26623,45-54,Health care,Medical supply tech,37500,USD,Usa,11 - 20 years,Some college,Woman,37500.0,USD
26624,35-44,Nonprofits,Program coordinator ,48000,USD,USA,5-7 years,Master's degree,Other or prefer not to answer,48000.0,USD
